20241110	09:21:02	09f82b40-1e08-4f18-afaf-494cdfbd7cb2	/new-page	GET
20241110	09:21:02	f6b8e69f-a832-4038-bead-f10ce7c569ae	/img/cool.png	GET
20241110	09:21:03	2aa574ba-5788-4e6e-8c5c-b319a0907914	/favicon.ico	GET
20241110	09:21:37	30b2c765-9c4c-43cd-a8d7-4dfcb3f8e899	/new-page	GET
20241110	09:22:08	ba671642-7dee-4c54-b7ac-085f2d212cd6	/new-page	GET
20241110	09:22:09	1ca4d350-5a66-45e3-bc8d-0cf6cff62d5c	/new-page	GET
20241110	09:22:09	0e2fc256-6c99-4b8f-9e0c-0a5000440524	/img/cool.png	GET
20241110	09:22:14	13a79a8e-82a4-4ad8-9ec5-ad86008d4955	/	GET
20241110	09:59:37	53604b14-cd1f-4bd1-8cd4-56159626cdc0	GET	undefined	/
20241110	09:59:37	7410f6e5-01c5-4eba-955b-4e9be9fac97c	GET	undefined	/css/style.css
20241110	10:01:36	24318ccf-965c-4d35-bbbb-5a96d6e561a2	GET	undefined	/
20241110	10:01:36	2e7168a0-f6e1-4d91-998b-d61b4fe3e290	GET	undefined	/css/style.css
20241110	10:02:16	84b483a7-6988-4357-8543-dcb9c73ed9b0	OPTIONS	https://www.google.com	/
20241110	10:02:16	bca3cfee-6c18-4342-8366-e7d1fe8d16a5	GET	https://www.google.com	/
20241110	10:03:45	267a4555-acdf-4d99-bec0-f0d21cf96952	OPTIONS	https://www.google.com	/
20241110	10:03:45	c213ea4b-bb07-447d-84d2-b36e7eecef23	GET	https://www.google.com	/
20241110	10:07:23	71b83240-6bad-4d9e-bc71-7fba6e6613f6	OPTIONS	https://www.google.com	/
20241110	10:07:23	adcd4ec5-287e-4437-8f93-c582c2901fc5	GET	https://www.google.com	/
20241110	10:07:33	815bb93c-a72e-468a-8dde-bda49dce352f	OPTIONS	https://www.google.com	/
20241110	10:07:33	c019d5fb-8c85-4dd9-ae5e-934189f57681	GET	https://www.google.com	/
20241110	10:08:32	e56896aa-c0b5-4cd7-85cb-9e82bda62c1d	OPTIONS	https://www.google.com	/
20241110	10:08:32	a8c8561b-25b2-4a8c-8726-d5b3162970ce	GET	https://www.google.com	/
20241110	10:09:50	66307800-d2c8-4891-8173-73d0c1cab253	GET	undefined	/
20241110	10:10:21	fa72bbed-2287-485c-a853-7927728710ca	GET	undefined	/
20241110	10:10:21	15b19f0c-148d-4389-b60f-6ab0c3c78f72	GET	undefined	/css/style.css
20241110	10:12:50	792ec3fa-1c7f-4e66-9aa5-c8f96d204c08	GET	undefined	/
20241110	10:12:50	9ca9f27b-4a1f-4c4f-b843-7d4585ab74a3	GET	undefined	/css/style.css
20241110	10:12:51	4d8219ed-bf18-4aa4-a4a9-319d96b24758	GET	undefined	/
20241110	10:12:51	5aa30536-8857-406e-85cc-64a25defd8bc	GET	undefined	/css/style.css
20241110	10:13:03	d5f82986-cdc6-4f27-bff9-00792f186b96	GET	undefined	/
20241110	10:14:26	7c05741c-0dc1-475b-b3b2-1c17351db95f	GET	undefined	/
20241110	10:14:26	b80bcff9-fff9-4061-8105-8ba49a0c5d8c	GET	undefined	/css/style.css
20241110	10:14:30	13cc566e-5064-45e6-8719-9caf3e8414cc	GET	undefined	/dave
20241110	10:16:12	fd7de4b4-1038-4fa2-a94e-5d14c387540e	GET	undefined	/dave
20241110	20:39:26	33788924-f5d2-4cec-b7ba-87535d119a16	GET	undefined	/
20241110	20:39:26	65ada409-ea9d-4c33-8b91-005cb64b1dfc	GET	undefined	/favicon.ico
20241110	20:39:46	38a23a5e-b191-4a5f-989e-06fa043e8bf6	GET	undefined	/index.html
20241110	20:39:56	e82e270c-9c58-4a93-aa09-9b87b72273b7	GET	undefined	/subdir
20241110	20:40:45	ca31091f-9be7-46a7-a287-efbfb9654517	GET	undefined	/
20241110	20:41:02	51015cdb-3453-44b4-b6d2-72a72ef4436a	GET	undefined	/
20241110	20:41:49	ba003106-4a4e-4548-bf28-2594ff679c3f	GET	undefined	/
20241110	20:41:49	d76b3cde-a1a1-4174-91f6-6071f6f72a73	GET	undefined	/css/style.css
20241110	20:41:54	f6a530b6-67a9-4e65-99b5-00d5bab37b4a	GET	undefined	/subdir
20241110	20:41:57	065a978b-c1d7-4c77-afb7-be09fb04710c	GET	undefined	/subdir/test.html
20241110	20:42:05	4f7c266f-16b9-4058-8736-49fed848164e	GET	undefined	/subdir/test.ht
20241110	20:43:01	1110517d-6ee8-493b-8bfd-1c8c7b0fa367	GET	undefined	/subdir/test.ht
20241110	20:43:02	bf6b11df-0954-4829-91c8-83d7f6e8f50a	GET	undefined	/subdir/test.ht
